code;location;registered;envelopes;valid;Unie H.A.V.E.L.;Radostné Česko;TOP 09;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;REALISTÉ;CESTA ODPOVĚDNÉ SPOLEČNOSTI;ANO 2011;Dobrá volba 2016;Česká str.sociálně demokrat.;Řád národa - Vlastenecká unie;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Křesť.demokr.unie-Čs.str.lid.;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana zelených;SPORTOVCI;Komunistická str.Čech a Moravy;Česká strana národně sociální;Strana Práv Občanů;Referendum o Evropské unii;Česká pirátská strana;Občanská demokratická strana
530638;Soběhrdy;319;227;225;0;0;14;1;16;1;2;2;0;74;0;17;0;2;0;9;0;24;2;1;12;0;0;0;25;23
599387;Soutice;219;146;146;0;0;2;0;14;1;4;0;0;70;0;14;0;0;0;4;0;11;1;3;8;0;0;0;8;6
599379;Stranný;82;51;51;0;0;5;0;3;0;0;1;0;13;0;7;0;0;0;0;0;5;0;0;6;0;1;0;4;6
599361;Strojetice;103;77;76;0;0;4;0;6;2;1;1;0;23;0;8;0;0;0;3;1;7;1;0;10;0;0;0;8;1
530689;Struhařov;670;461;459;0;0;15;1;31;2;5;2;2;180;0;24;1;0;1;10;0;32;7;0;35;0;3;1;48;59
530701;Střezimíř;263;174;174;0;0;1;0;18;2;6;0;0;76;0;5;0;0;0;7;0;17;1;0;12;1;0;0;16;12
530719;Studený;82;54;54;0;0;0;0;1;0;0;0;0;18;1;3;1;0;0;5;0;8;0;0;7;0;0;0;2;8
532509;Šetějovice;48;38;38;0;0;1;0;4;0;0;0;0;15;0;4;0;0;0;5;0;4;0;0;1;0;0;0;1;3
530751;Tehov;249;165;165;0;0;8;0;26;2;0;1;0;56;0;21;0;0;0;7;0;13;1;0;15;0;1;0;11;3
530760;Teplýšovice;383;289;288;0;0;4;0;17;2;3;3;0;96;0;25;0;0;0;24;1;41;6;0;17;0;0;1;26;22
530778;Tichonice;179;137;137;1;0;5;0;13;0;5;0;0;50;0;14;0;1;0;2;0;5;0;6;9;0;0;0;10;16
532592;Tisem;184;128;128;0;0;6;0;19;0;1;0;0;42;0;15;0;0;0;3;0;12;3;0;7;0;0;0;12;8
532541;Tomice;105;75;75;0;0;0;1;12;0;2;0;0;26;0;4;0;1;0;13;0;2;0;0;8;0;0;0;2;4
530816;Trhový Štěpánov;1029;643;634;0;0;25;2;66;7;6;6;1;217;0;42;0;0;0;45;2;48;5;1;40;0;0;0;59;62
532304;Třebešice;82;68;68;0;0;3;0;3;0;1;0;0;14;0;3;0;0;0;2;0;8;1;0;5;0;0;0;15;13
530841;Týnec nad Sázavou;4550;2943;2922;3;4;104;20;272;33;36;9;0;999;1;175;5;0;5;55;8;272;33;4;265;0;12;5;307;295
532061;Václavice;455;290;289;0;0;5;2;21;1;13;4;0;85;0;27;0;0;0;10;1;41;0;1;12;0;3;1;32;30
530867;Veliš;270;189;189;0;0;8;0;25;2;1;0;0;71;0;9;0;0;1;23;1;16;0;2;15;0;0;0;6;9
530883;Vlašim;9453;5687;5644;2;2;216;8;610;32;61;30;8;1862;2;534;9;2;2;309;7;368;57;12;465;3;12;2;525;504
532614;Vodslivy;84;43;43;0;0;2;1;8;1;2;0;0;10;0;3;0;1;0;5;0;1;0;0;0;0;0;0;4;5
530891;Vojkov;427;250;249;0;1;7;0;16;1;1;3;1;90;1;23;1;0;0;14;0;15;2;0;23;2;0;0;27;21
530905;Votice;3676;2230;2219;1;1;90;3;187;15;34;10;0;779;0;196;4;7;2;74;4;182;15;4;167;1;4;0;231;208
530913;Vracovice;326;201;199;0;0;10;0;12;3;6;0;0;67;3;14;1;0;0;22;0;15;0;1;9;0;0;0;22;14
530921;Vranov;332;244;244;0;0;14;0;11;1;3;0;0;80;1;11;0;1;1;14;0;26;2;0;21;0;0;1;28;29
530948;Vrchotovy Janovice;785;492;488;0;0;19;1;52;6;3;3;0;174;0;39;1;1;1;12;2;49;7;1;38;0;1;0;54;24
532266;Všechlapy;84;65;64;0;0;7;0;6;0;0;0;0;11;0;4;0;0;0;1;0;6;0;0;5;0;0;0;7;17
513482;Vysoký Újezd;163;113;113;0;0;8;1;4;5;4;8;0;30;0;11;0;1;0;2;0;1;3;0;12;0;0;0;3;20
571415;Xaverov;49;36;36;0;0;0;0;1;0;0;0;0;3;0;6;0;0;0;4;0;10;0;0;4;0;0;0;5;3
531022;Zdislavice;462;320;318;0;0;10;1;22;1;7;6;0;120;0;23;1;0;0;24;0;25;2;0;34;0;0;0;24;18
531049;Zvěstov;303;178;178;0;0;6;0;15;2;4;1;0;65;0;16;0;0;0;10;0;21;1;0;6;0;1;0;10;20
